,title,imdb_link,imdb_id
95,Shopping (1994),https://www.imdb.com/title/tt0111173,tt0111173
96,Heidi Fleiss: Hollywood Madam (1995),https://www.imdb.com/title/tt0113283,tt0113283
97,City Hall (1996),https://www.imdb.com/title/tt0115907,tt0115907
98,Bottle Rocket (1996),https://www.imdb.com/title/tt0115734,tt0115734
99,Mr. Wrong (1996),https://www.imdb.com/title/tt0117102,tt0117102
100,Unforgettable (1996),https://www.imdb.com/title/tt0118040,tt0118040
101,Happy Gilmore (1996),https://www.imdb.com/title/tt0116483,tt0116483
102,The Bridges of Madison County (1995),https://www.imdb.com/title/tt0112579,tt0112579
103,Nobody Loves Me (1994),https://www.imdb.com/title/tt0110251,tt0110251
104,Muppet Treasure Island (1996),https://www.imdb.com/title/tt0117110,tt0117110
105,Catwalk (1995),https://www.imdb.com/title/tt0112646,tt0112646
106,Headless Body in Topless Bar (1995),https://www.imdb.com/title/tt0113276,tt0113276
107,Braveheart (1995),https://www.imdb.com/title/tt0112573,tt0112573
108,Taxi Driver (1976),https://www.imdb.com/title/tt0075314,tt0075314
109,Rumble in the Bronx (1995),https://www.imdb.com/title/tt0113326,tt0113326
110,Before and After (1996),https://www.imdb.com/title/tt0115645,tt0115645
111,Margaret's Museum (1995),https://www.imdb.com/title/tt0113774,tt0113774
112,Happiness Is in the Field (1995),https://www.imdb.com/title/tt0112556,tt0112556
113,Anne Frank Remembered (1995),https://www.imdb.com/title/tt0112373,tt0112373
114,The Young Poisoner's Handbook (1995),https://www.imdb.com/title/tt0115033,tt0115033
115,If Lucy Fell (1996),https://www.imdb.com/title/tt0116606,tt0116606
116,Steal Big Steal Little (1995),https://www.imdb.com/title/tt0114536,tt0114536
117,Race the Sun (1996),https://www.imdb.com/title/tt0117427,tt0117427
118,The Boys of St. Vincent (1992),https://www.imdb.com/title/tt0106473,tt0106473
119,Boomerang (1992),https://www.imdb.com/title/tt0103859,tt0103859
120,Chungking Express (1994),https://www.imdb.com/title/tt0109424,tt0109424
121,The Star Maker (1995),https://www.imdb.com/title/tt0114808,tt0114808
122,Flirting with Disaster (1996),https://www.imdb.com/title/tt0116324,tt0116324
123,The Neverending Story III: Escape from Fantasia (1994),https://www.imdb.com/title/tt0110647,tt0110647
124,The Silences of the Palace (1994),https://www.imdb.com/title/tt0111055,tt0111055
125,Jupiter's Wife (1995),https://www.imdb.com/title/tt0110217,tt0110217
126,Pie in the Sky (1996),https://www.imdb.com/title/tt0114131,tt0114131
127,Angela (1995),https://www.imdb.com/title/tt0112364,tt0112364
128,Frankie Starlight (1995),https://www.imdb.com/title/tt0113107,tt0113107
129,Jade (1995),https://www.imdb.com/title/tt0113451,tt0113451
130,Nueba Yol (1995),https://www.imdb.com/title/tt0114015,tt0114015
131,Sonic Outlaws (1995),https://www.imdb.com/title/tt0114500,tt0114500
132,Down Periscope (1996),https://www.imdb.com/title/tt0116130,tt0116130
133,From the Journals of Jean Seberg (1995),https://www.imdb.com/title/tt0113125,tt0113125
134,Man of the Year (1995),https://www.imdb.com/title/tt0113756,tt0113756
135,The Neon Bible (1995),https://www.imdb.com/title/tt0113952,tt0113952
136,Target (1995),https://www.imdb.com/title/tt0114618,tt0114618
137,Up Close & Personal (1996),https://www.imdb.com/title/tt0118055,tt0118055
138,The Birdcage (1996),https://www.imdb.com/title/tt0115685,tt0115685
139,Virgin Mary (1995),https://www.imdb.com/title/tt0113200,tt0113200
140,The Brothers McMullen (1995),https://www.imdb.com/title/tt0112585,tt0112585
141,Bad Boys (1995),https://www.imdb.com/title/tt0112442,tt0112442
142,The Amazing Panda Adventure (1995),https://www.imdb.com/title/tt0112342,tt0112342
143,The Basketball Diaries (1995),https://www.imdb.com/title/tt0112461,tt0112461
144,An Awfully Big Adventure (1995),https://www.imdb.com/title/tt0112427,tt0112427
145,Amateur (1994),https://www.imdb.com/title/tt0109093,tt0109093
146,Apollo 13 (1995),https://www.imdb.com/title/tt0112384,tt0112384
147,Rob Roy (1995),https://www.imdb.com/title/tt0114287,tt0114287
148,The Addiction (1995),https://www.imdb.com/title/tt0112288,tt0112288
149,Batman Forever (1995),https://www.imdb.com/title/tt0112462,tt0112462
150,Belle de Jour (1967),https://www.imdb.com/title/tt0061395,tt0061395
151,Beyond Rangoon (1995),https://www.imdb.com/title/tt0112495,tt0112495
152,Blue in the Face (1995),https://www.imdb.com/title/tt0112541,tt0112541
153,Canadian Bacon (1995),https://www.imdb.com/title/tt0109370,tt0109370
154,Casper (1995),https://www.imdb.com/title/tt0112642,tt0112642
155,Clockers (1995),https://www.imdb.com/title/tt0112688,tt0112688
156,Congo (1995),https://www.imdb.com/title/tt0112715,tt0112715
157,Crimson Tide (1995),https://www.imdb.com/title/tt0112740,tt0112740
158,Crumb (1994),https://www.imdb.com/title/tt0109508,tt0109508
159,Desperado (1995),https://www.imdb.com/title/tt0112851,tt0112851
160,Devil in a Blue Dress (1995),https://www.imdb.com/title/tt0112857,tt0112857
161,Die Hard: With a Vengeance (1995),https://www.imdb.com/title/tt0112864,tt0112864
162,The Doom Generation (1995),https://www.imdb.com/title/tt0112887,tt0112887
163,Feast of July (1995),https://www.imdb.com/title/tt0113044,tt0113044
164,First Knight (1995),https://www.imdb.com/title/tt0113071,tt0113071
165,Free Willy 2 - The Adventure Home (1995),https://www.imdb.com/title/tt0113114,tt0113114
166,Hackers (1995),https://www.imdb.com/title/tt0113243,tt0113243
167,Jeffrey (1995),https://www.imdb.com/title/tt0113464,tt0113464
168,Johnny Mnemonic (1995),https://www.imdb.com/title/tt0113481,tt0113481
169,Judge Dredd (1995),https://www.imdb.com/title/tt0113492,tt0113492
170,Jury Duty (1995),https://www.imdb.com/title/tt0113500,tt0113500
171,Kids (1995),https://www.imdb.com/title/tt0113540,tt0113540
172,Living in Oblivion (1995),https://www.imdb.com/title/tt0113677,tt0113677
173,Lord of Illusions (1995),https://www.imdb.com/title/tt0113690,tt0113690
174,Love & Human Remains (1993),https://www.imdb.com/title/tt0107447,tt0107447
175,Mad Love (1995),https://www.imdb.com/title/tt0113729,tt0113729
176,Mallrats (1995),https://www.imdb.com/title/tt0113749,tt0113749
177,Mighty Morphin Power Rangers: The Movie (1995),https://www.imdb.com/title/tt0113820,tt0113820
178,Moonlight and Valentino (1995),https://www.imdb.com/title/tt0113851,tt0113851
179,Mute Witness (1995),https://www.imdb.com/title/tt0110604,tt0110604
180,Nadja (1994),https://www.imdb.com/title/tt0110620,tt0110620
181,The Net (1995),https://www.imdb.com/title/tt0113957,tt0113957
182,Nine Months (1995),https://www.imdb.com/title/tt0113986,tt0113986
183,Party Girl (1995),https://www.imdb.com/title/tt0114095,tt0114095
184,The Prophecy (1995),https://www.imdb.com/title/tt0114194,tt0114194
185,Reckless (1995),https://www.imdb.com/title/tt0114241,tt0114241
186,Safe (1995),https://www.imdb.com/title/tt0114323,tt0114323
187,The Scarlet Letter (1995),https://www.imdb.com/title/tt0114345,tt0114345
188,The Show (1995),https://www.imdb.com/title/tt0114435,tt0114435
189,Showgirls (1995),https://www.imdb.com/title/tt0114436,tt0114436
190,Smoke (1995),https://www.imdb.com/title/tt0114478,tt0114478
191,Something to Talk About (1995),https://www.imdb.com/title/tt0114496,tt0114496
192,Species (1995),https://www.imdb.com/title/tt0114508,tt0114508
193,The Stars Fell on Henrietta (1995),https://www.imdb.com/title/tt0114534,tt0114534
194,Strange Days (1995),https://www.imdb.com/title/tt0114558,tt0114558
195,The Umbrellas of Cherbourg (1964),https://www.imdb.com/title/tt0058450,tt0058450
196,The Tie That Binds (1995),https://www.imdb.com/title/tt0114666,tt0114666
197,Three Wishes (1995),https://www.imdb.com/title/tt0114663,tt0114663
198,Total Eclipse (1995),https://www.imdb.com/title/tt0114702,tt0114702
199,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",https://www.imdb.com/title/tt0114682,tt0114682
200,Under Siege 2: Dark Territory (1995),https://www.imdb.com/title/tt0114781,tt0114781
201,Unstrung Heroes (1995),https://www.imdb.com/title/tt0114798,tt0114798
202,Unzipped (1995),https://www.imdb.com/title/tt0114805,tt0114805
203,A Walk in the Clouds (1995),https://www.imdb.com/title/tt0114887,tt0114887
204,Waterworld (1995),https://www.imdb.com/title/tt0114898,tt0114898
205,White Man's Burden (1995),https://www.imdb.com/title/tt0114928,tt0114928
206,Wild Bill (1995),https://www.imdb.com/title/tt0114938,tt0114938
207,The Browning Version (1994),https://www.imdb.com/title/tt0109340,tt0109340
208,Bushwhacked (1995),https://www.imdb.com/title/tt0112602,tt0112602
209,Burnt by the Sun (1994),https://www.imdb.com/title/tt0111579,tt0111579
210,Before the Rain (1994),https://www.imdb.com/title/tt0110882,tt0110882
211,Before Sunrise (1995),https://www.imdb.com/title/tt0112471,tt0112471
212,Billy Madison (1995),https://www.imdb.com/title/tt0112508,tt0112508
213,The Babysitter (1995),https://www.imdb.com/title/tt0112438,tt0112438
214,Boys on the Side (1995),https://www.imdb.com/title/tt0112571,tt0112571
215,The Cure (1995),https://www.imdb.com/title/tt0112757,tt0112757
216,Castle Freak (1995),https://www.imdb.com/title/tt0112643,tt0112643
217,Circle of Friends (1995),https://www.imdb.com/title/tt0112679,tt0112679
218,Clerks (1994),https://www.imdb.com/title/tt0109445,tt0109445
219,Don Juan DeMarco (1994),https://www.imdb.com/title/tt0112883,tt0112883
220,Disclosure (1994),https://www.imdb.com/title/tt0109635,tt0109635
221,Dream Man (1995),https://www.imdb.com/title/tt0112899,tt0112899
222,Drop Zone (1994),https://www.imdb.com/title/tt0109676,tt0109676
223,Destiny Turns on the Radio (1995),https://www.imdb.com/title/tt0112854,tt0112854
224,Death and the Maiden (1994),https://www.imdb.com/title/tt0109579,tt0109579
225,Dolores Claiborne (1995),https://www.imdb.com/title/tt0109642,tt0109642
226,Dumb and Dumber (1994),https://www.imdb.com/title/tt0109686,tt0109686
227,Eat Drink Man Woman (1994),https://www.imdb.com/title/tt0111797,tt0111797
228,Exotica (1994),https://www.imdb.com/title/tt0109759,tt0109759
229,Exit to Eden (1994),https://www.imdb.com/title/tt0109758,tt0109758
230,Ed Wood (1994),https://www.imdb.com/title/tt0109707,tt0109707
231,French Kiss (1995),https://www.imdb.com/title/tt0113117,tt0113117
232,Forget Paris (1995),https://www.imdb.com/title/tt0113097,tt0113097
233,Far from Home: The Adventures of Yellow Dog (1995),https://www.imdb.com/title/tt0113028,tt0113028
234,A Goofy Movie (1995),https://www.imdb.com/title/tt0113198,tt0113198
235,Hideaway (1995),https://www.imdb.com/title/tt0113303,tt0113303
236,Fluke (1995),https://www.imdb.com/title/tt0113089,tt0113089
237,Farinelli (1994),https://www.imdb.com/title/tt0109771,tt0109771
238,Gordy (1995),https://www.imdb.com/title/tt0113199,tt0113199
239,Gumby: The Movie (1995),https://www.imdb.com/title/tt0113234,tt0113234
240,The Glass Shield (1994),https://www.imdb.com/title/tt0109906,tt0109906
241,Hoop Dreams (1994),https://www.imdb.com/title/tt0110057,tt0110057
242,Heavenly Creatures (1994),https://www.imdb.com/title/tt0110005,tt0110005
243,Houseguest (1995),https://www.imdb.com/title/tt0110066,tt0110066
244,Immortal Beloved (1994),https://www.imdb.com/title/tt0110116,tt0110116
245,Heavyweights (1995),https://www.imdb.com/title/tt0110006,tt0110006
246,The Hunted (1995),https://www.imdb.com/title/tt0113360,tt0113360
247,I.Q. (1994),https://www.imdb.com/title/tt0110099,tt0110099
248,Interview with the Vampire (1994),https://www.imdb.com/title/tt0110148,tt0110148
249,Jefferson in Paris (1995),https://www.imdb.com/title/tt0113463,tt0113463
250,The Jerky Boys (1995),https://www.imdb.com/title/tt0110189,tt0110189
251,Junior (1994),https://www.imdb.com/title/tt0110216,tt0110216
252,Just Cause (1995),https://www.imdb.com/title/tt0113501,tt0113501
253,A Kid in King Arthur's Court (1995),https://www.imdb.com/title/tt0113538,tt0113538
254,Kiss of Death (1995),https://www.imdb.com/title/tt0113552,tt0113552
255,Star Wars (1977),https://www.imdb.com/title/tt0076759,tt0076759
256,Little Women (1994),https://www.imdb.com/title/tt0110367,tt0110367
257,A Little Princess (1995),https://www.imdb.com/title/tt0113670,tt0113670
258,Ladybird Ladybird (1994),https://www.imdb.com/title/tt0110296,tt0110296
259,L'Enfer (1994),https://www.imdb.com/title/tt0109731,tt0109731
260,Like Water for Chocolate (1992),https://www.imdb.com/title/tt0103994,tt0103994
261,Legends of the Fall (1994),https://www.imdb.com/title/tt0110322,tt0110322
262,Major Payne (1995),https://www.imdb.com/title/tt0110443,tt0110443
263,Little Odessa (1994),https://www.imdb.com/title/tt0110365,tt0110365
264,Mi Vida Loca (1994),https://www.imdb.com/title/tt0107566,tt0107566
265,Love Affair (1994),https://www.imdb.com/title/tt0110391,tt0110391
266,Losing Isaiah (1995),https://www.imdb.com/title/tt0113691,tt0113691
267,The Madness of King George (1994),https://www.imdb.com/title/tt0110428,tt0110428
268,Mary Shelley's Frankenstein (1994),https://www.imdb.com/title/tt0109836,tt0109836
269,Man of the House (1995),https://www.imdb.com/title/tt0113755,tt0113755
270,Mixed Nuts (1994),https://www.imdb.com/title/tt0110538,tt0110538
271,Milk Money (1994),https://www.imdb.com/title/tt0110516,tt0110516
272,Miracle on 34th Street (1994),https://www.imdb.com/title/tt0110527,tt0110527
273,Miami Rhapsody (1995),https://www.imdb.com/title/tt0113808,tt0113808
274,My Family (1995),https://www.imdb.com/title/tt0113896,tt0113896
275,Murder in the First (1995),https://www.imdb.com/title/tt0113870,tt0113870
276,Nobody's Fool (1994),https://www.imdb.com/title/tt0110684,tt0110684
277,Nell (1994),https://www.imdb.com/title/tt0110638,tt0110638
278,New Jersey Drive (1995),https://www.imdb.com/title/tt0113967,tt0113967
279,New York Cop (1993),https://www.imdb.com/title/tt0117169,tt0117169
280,Beyond Bedlam (1994),https://www.imdb.com/title/tt0106402,tt0106402
281,Nemesis 2 - Nebula (1995),https://www.imdb.com/title/tt0113948,tt0113948
282,Nina Takes a Lover (1995),https://www.imdb.com/title/tt0110671,tt0110671
283,Natural Born Killers (1994),https://www.imdb.com/title/tt0110632,tt0110632
284,Only You (1994),https://www.imdb.com/title/tt0110737,tt0110737
285,Once Were Warriors (1994),https://www.imdb.com/title/tt0110729,tt0110729
286,Poison Ivy II: Lily (1996),https://www.imdb.com/title/tt0114151,tt0114151
287,Outbreak (1995),https://www.imdb.com/title/tt0114069,tt0114069
288,Leon: The Professional (1994),https://www.imdb.com/title/tt0110413,tt0110413
289,The Perez Family (1995),https://www.imdb.com/title/tt0114113,tt0114113
290,A Pyromaniac's Love Story (1995),https://www.imdb.com/title/tt0114210,tt0114210
291,Pulp Fiction (1994),https://www.imdb.com/title/tt0110912,tt0110912
292,Panther (1995),https://www.imdb.com/title/tt0114084,tt0114084
293,Pushing Hands (1992),https://www.imdb.com/title/tt0105652,tt0105652
294,Priest (1994),https://www.imdb.com/title/tt0110889,tt0110889
295,Quiz Show (1994),https://www.imdb.com/title/tt0110932,tt0110932
296,Picture Bride (1995),https://www.imdb.com/title/tt0114129,tt0114129
297,Queen Margot (1994),https://www.imdb.com/title/tt0110963,tt0110963
298,The Quick and the Dead (1995),https://www.imdb.com/title/tt0114214,tt0114214
299,Prêt-à-Porter (1994),https://www.imdb.com/title/tt0110907,tt0110907
300,Three Colors: Red (1994),https://www.imdb.com/title/tt0111495,tt0111495
301,Three Colors: Blue (1993),https://www.imdb.com/title/tt0108394,tt0108394
302,Three Colors: White (1994),https://www.imdb.com/title/tt0111507,tt0111507
303,"Red Firecracker, Green Firecracker (1994)",https://www.imdb.com/title/tt0110769,tt0110769
304,Rent-a-Kid (1995),https://www.imdb.com/title/tt0114268,tt0114268
305,Relative Fear (1995),https://www.imdb.com/title/tt0110965,tt0110965
306,Stuart Saves His Family (1995),https://www.imdb.com/title/tt0114571,tt0114571
307,The Swan Princess (1994),https://www.imdb.com/title/tt0111333,tt0111333
308,The Secret of Roan Inish (1994),https://www.imdb.com/title/tt0111112,tt0111112
309,The Specialist (1994),https://www.imdb.com/title/tt0111255,tt0111255
310,Stargate (1994),https://www.imdb.com/title/tt0111282,tt0111282
311,The Santa Clause (1994),https://www.imdb.com/title/tt0111070,tt0111070
312,The Shawshank Redemption (1994),https://www.imdb.com/title/tt0111161,tt0111161
313,Shallow Grave (1994),https://www.imdb.com/title/tt0111149,tt0111149
314,Suture (1993),https://www.imdb.com/title/tt0108260,tt0108260
315,Strawberry and Chocolate (1993),https://www.imdb.com/title/tt0106966,tt0106966
316,Swimming with Sharks (1994),https://www.imdb.com/title/tt0114594,tt0114594
317,The Sum of Us (1994),https://www.imdb.com/title/tt0111309,tt0111309
318,Senior Trip (1995),https://www.imdb.com/title/tt0113936,tt0113936
319,To Live (1994),https://www.imdb.com/title/tt0110081,tt0110081
320,Tank Girl (1995),https://www.imdb.com/title/tt0114614,tt0114614
321,Tales from the Crypt: Demon Knight (1995),https://www.imdb.com/title/tt0114608,tt0114608
322,Star Trek: Generations (1994),https://www.imdb.com/title/tt0111280,tt0111280
323,Tales from the Hood (1995),https://www.imdb.com/title/tt0114609,tt0114609
324,Tom & Viv (1994),https://www.imdb.com/title/tt0111454,tt0111454
325,Village of the Damned (1995),https://www.imdb.com/title/tt0114852,tt0114852
326,Tommy Boy (1995),https://www.imdb.com/title/tt0114694,tt0114694
327,Vanya on 42nd Street (1994),https://www.imdb.com/title/tt0111590,tt0111590
328,The Underneath (1995),https://www.imdb.com/title/tt0114788,tt0114788
329,The Walking Dead (1995),https://www.imdb.com/title/tt0114888,tt0114888
330,What's Eating Gilbert Grape (1993),https://www.imdb.com/title/tt0108550,tt0108550
331,Virtuosity (1995),https://www.imdb.com/title/tt0114857,tt0114857
332,While You Were Sleeping (1995),https://www.imdb.com/title/tt0114924,tt0114924
333,The War (1994),https://www.imdb.com/title/tt0111667,tt0111667
334,Double Happiness (1994),https://www.imdb.com/title/tt0109655,tt0109655
335,Muriel's Wedding (1994),https://www.imdb.com/title/tt0110598,tt0110598
336,The Baby-Sitters Club (1995),https://www.imdb.com/title/tt0112435,tt0112435
337,Ace Ventura: Pet Detective (1994),https://www.imdb.com/title/tt0109040,tt0109040
338,"The Adventures of Priscilla, Queen of the Desert (1994)",https://www.imdb.com/title/tt0109045,tt0109045
339,Backbeat (1994),https://www.imdb.com/title/tt0106339,tt0106339
340,Bitter Moon (1992),https://www.imdb.com/title/tt0104779,tt0104779
341,Bullets Over Broadway (1994),https://www.imdb.com/title/tt0109348,tt0109348
342,Clear and Present Danger (1994),https://www.imdb.com/title/tt0109444,tt0109444
343,The Client (1994),https://www.imdb.com/title/tt0109446,tt0109446
344,"Corrina, Corrina (1994)",https://www.imdb.com/title/tt0109484,tt0109484
345,Crooklyn (1994),https://www.imdb.com/title/tt0109504,tt0109504
346,The Crow (1994),https://www.imdb.com/title/tt0109506,tt0109506
347,Cobb (1994),https://www.imdb.com/title/tt0109450,tt0109450
348,The Flintstones (1994),https://www.imdb.com/title/tt0109813,tt0109813
349,Forrest Gump (1994),https://www.imdb.com/title/tt0109830,tt0109830
350,Four Weddings and a Funeral (1994),https://www.imdb.com/title/tt0109831,tt0109831
351,Higher Learning (1995),https://www.imdb.com/title/tt0113305,tt0113305
352,I Like It Like That (1994),https://www.imdb.com/title/tt0110091,tt0110091
353,I Love Trouble (1994),https://www.imdb.com/title/tt0110093,tt0110093
354,It Could Happen to You (1994),https://www.imdb.com/title/tt0110167,tt0110167
355,The Jungle Book (1994),https://www.imdb.com/title/tt0110213,tt0110213
356,"The Wonderful, Horrible Life of Leni Riefenstahl (1993)",https://www.imdb.com/title/tt0107472,tt0107472
357,The Lion King (1994),https://www.imdb.com/title/tt0110357,tt0110357
358,Little Buddha (1993),https://www.imdb.com/title/tt0107426,tt0107426
359,New Nightmare (1994),https://www.imdb.com/title/tt0111686,tt0111686
360,The Mask (1994),https://www.imdb.com/title/tt0110475,tt0110475
361,Maverick (1994),https://www.imdb.com/title/tt0110478,tt0110478
362,Mrs. Parker and the Vicious Circle (1994),https://www.imdb.com/title/tt0110588,tt0110588
363,The Naked Gun 33⅓: The Final Insult (1994),https://www.imdb.com/title/tt0110622,tt0110622
364,The Paper (1994),https://www.imdb.com/title/tt0110771,tt0110771
365,Reality Bites (1994),https://www.imdb.com/title/tt0110950,tt0110950
366,Red Rock West (1993),https://www.imdb.com/title/tt0105226,tt0105226
367,Ri¢hie Ri¢h (1994),https://www.imdb.com/title/tt0110989,tt0110989
368,Safe Passage (1994),https://www.imdb.com/title/tt0111054,tt0111054
369,The River Wild (1994),https://www.imdb.com/title/tt0110997,tt0110997
370,Speed (1994),https://www.imdb.com/title/tt0111257,tt0111257
371,Speechless (1994),https://www.imdb.com/title/tt0111256,tt0111256
